obec_nazev,uzel_nazev,uzel_lng,uzel_lat


Babice nad Svitavou,Bílovice nad Svitavou,49.24433,16.67388
Bílovice nad Svitavou,Bílovice nad Svitavou,49.24433,16.67388
Blažovice,Zvonařka,49.18560,16.61724
Březina,Bílovice nad Svitavou,49.24433,16.67388
Hajany,Zvonařka,49.18560,16.61724
Hostěnice,Bílovice nad Svitavou,49.24433,16.67388
Jiříkovice,Zvonařka,49.18560,16.61724
Kanice,Bílovice nad Svitavou,49.24433,16.67388
Kobylnice,Zvonařka,49.18560,16.61724
Kovalovice,Zvonařka,49.18560,16.61724
Modřice,Zvonařka,49.18560,16.61724
Mokrá-Horákov,Zvonařka,49.18560,16.61724
Moravany,Zvonařka,49.18560,16.61724
Nebovidy,Zvonařka,49.18560,16.61724
Ochoz u Brna,Bílovice nad Svitavou,49.24433,16.67388
Omice,Střelice,49.15455,16.48319
Ořechov,Zvonařka,49.18560,16.61724
Ostopovice,Zvonařka,49.18560,16.61724
Podolí,Zvonařka,49.18560,16.61724
Ponětovice,Zvonařka,49.18560,16.61724
Popůvky,Střelice,49.15455,16.48319
Pozořice,Zvonařka,49.18560,16.61724
Prace,Zvonařka,49.18560,16.61724
Prštice,Střelice,49.15455,16.48319
Radostice,Střelice,49.15455,16.48319
Rebešovice,Brno-Chrlice,49.13204,16.65680
Řícmanice,Bílovice nad Svitavou,49.24433,16.67388
Silůvky,Střelice,49.15455,16.48319
Sivice,Zvonařka,49.18560,16.61724
Sokolnice,Zvonařka,49.18560,16.61724
Střelice,Střelice,49.15455,16.48319
Šlapanice,Zvonařka,49.18560,16.61724
Telnice,Zvonařka,49.18560,16.61724
Troubsko,Zvonařka,49.18560,16.61724
Tvarožná,Zvonařka,49.18560,16.61724
Újezd u Brna,Zvonařka,49.18560,16.61724
Velatice,Zvonařka,49.18560,16.61724
Viničné Šumice,Zvonařka,49.18560,16.61724
Vranov,Brno-Lesná,49.22130,16.62729
Želešice,Zvonařka,49.18560,16.61724

Čebín,Česká (železniční zastávka),49.28488,16.56816
Česká,Česká (železniční zastávka),49.28488,16.56816
Hvozdec,Zoologická zahrada,49.22775,16.53191
Chudčice,Česká (železniční zastávka),49.28488,16.56816
Jinačovice,Zoologická zahrada,49.22775,16.53191
Kuřim,Česká (železniční zastávka),49.28488,16.56816
Lelekovice,Česká (železniční zastávka),49.28488,16.56816
Moravské Knínice,Česká (železniční zastávka),49.28488,16.56816
Rozdrojovice,Zoologická zahrada,49.22775,16.53191
Veverská Bítýška,Zoologická zahrada,49.22775,16.53191


